situation,thought,action,polarity
I ask my friend's boyfriend out on a date . ,she will be mad at me .,I avoid talking to her for a few days .,0
I ask my friend's boyfriend out on a date . ,she may not want to be friends with me anymore .,I text her first to ask if it's okay .,0
I ask my friend's boyfriend out on a date . ,she may not want to be friends with me anymore .,I am doing it with a heavy heart .,0
I asked my friend's boyfriend if he wanted to go on a trip with us to the Caribbean . ,he will say no .,I asked him how much money he would need to feel comfortable going .,0
I asked my friend's boyfriend if he wanted to go on a trip with us to the Caribbean . ,he will say no .,I was surprised when he said yes.,0
I asked my friend's boyfriend if he wanted to go on a trip with us to the Caribbean . ,he will say no .,I was okay when he said no .,0
I asked my friend's boyfriend if he wanted to go on a trip with us to the Caribbean . ,he will think I am trying to be more than friends .,"I act casual and say ' the more, the merrier. '.",0
I asked my friend's boyfriend if he wanted to go on a trip with us to the Caribbean . ,he will think I am trying to be more than friends .,I asked with my best friend by my side .,0
I asked my friend's boyfriend if he wanted to go on a trip with us to the Caribbean . ,he will think I am trying to be more than friends .,I tried to play it cool .,0
I asked my friend's boyfriend if he wanted to go on a trip with us to the Caribbean . ,he may not want to go with us .,I act casual about the whole thing .,0
I asked my friend's boyfriend if he wanted to go on a trip with us to the Caribbean . ,he may not want to go with us .,I asked him about his preferences for the trip .,0
I asked my friend's boyfriend if he wanted to go on a trip with us to the Caribbean . ,he may not want to go with us .,I asked him in a more roundabout way .,0
I asked my friend's boyfriend if he liked me . ,he will say no .,I didn't want to hear his answer and ran away quickly .,0
I asked my friend's boyfriend if he liked me . ,he will say no .,I was extremely embarrassed when he said yes.,0
I asked my friend's boyfriend if he liked me . ,he will say no .,I asked him out instead .,0
I asked my friend's boyfriend if he liked me . ,he will say no and I will be humiliated .,I avoid asking him directly .,0
I asked my friend's boyfriend if he liked me . ,he will say no and I will be humiliated .,I brace myself for the answer .,0
I asked my friend's boyfriend if he liked me . ,he will say no and I will be humiliated .,I ran away before he could answer .,0
I asked my friend's boyfriend if he liked me . ,he will say no and our friendship will be ruined .,I pluck up the courage to ask him .,0
I asked my friend's boyfriend if he liked me . ,he will say no and our friendship will be ruined .,I brace myself for the answer.,0
I asked my friend's boyfriend if he liked me . ,he will say no and our friendship will be ruined .,I was extremely nervous .,0
I asked my friend's crush out on a date . ,hey will say no .,I prepare myself for the worst .,0
I asked my friend's crush out on a date . ,hey will say no .,I don't get my hopes too high .,0
I asked my friend's crush out on a date . ,hey will say no .,I have a backup plan .,0
I asked my friend's crush out on a date . ,she will say no .,I prepare myself for the rejection .,0
I asked my friend's crush out on a date . ,she will say no .,I asked her in a joking way .,0
I asked my friend's crush out on a date . ,she will say no .,I eat a lot of ice cream to make myself feel better .,0
I asked my friend's crush out on a date . ,she will reject me .,I nervously fidget with my hands .,0
I asked my friend's crush out on a date . ,she will reject me .,I brought a friend along .,0
I asked my friend's crush out on a date . ,she will reject me .,I asked her out anyways .,0
I asked Sarah's crush on a date . ,she will say no .,I asked her best friend for some advice .,0
I asked Sarah's crush on a date . ,she will say no .,I brought flowers as an apology .,0
I asked Sarah's crush on a date . ,Sarah will be upset .,I avoid her for the day .,0
I asked Sarah's crush on a date . ,Sarah will be upset .,I asked Sarah for permission first .,0
I asked Sarah's crush on a date . ,she will reject me .,I brought some flowers as an apology in advance .,0
I asked Sarah's crush on a date . ,she will reject me .,I nervously prepared what to say .,0
I asked Sarah's crush on a date . ,she will reject me .,I bring a friend along just in case .,0
I asked Sarah's crush on a date . ,he may say no .,I practiced what I would say in front of the mirror.,0
I asked Sarah's crush on a date . ,he may say no .,I hesitated for a long time before asking .,0
I asked Sarah's crush on a date . ,he may say no .,I nervously wait for his answer .,0
I asked my friend's crush on a date . ,I will be rejected .,I bring a couple of close friends with me .,0
I asked my friend's crush on a date . ,I will be rejected .,I mentally prepared myself for the worst case scenario.,0
I asked my friend's crush on a date . ,my friend will be  angry  with me .,I asked her for permission first .,0
I asked my friend's crush on a date . ,he will say no .,I mentally prepare myself for the worst.,0
I asked my friend's crush on a date . ,he will say no .,I will ask him out tomorrow .,0
I asked my friend's crush on a date . ,he will say no .,I prepare some possible conversation starters .,0
I asked my friend's crush on a date . ,he will say no and I will be humiliated .,I practiced what I will say in front of the mirror .,0
I asked my friend's crush on a date . ,he will say no and I will be humiliated .,I prepare myself for the worst case scenario.,0
I asked my friend's crush on a date . ,she will say no .,I prepare some possible explanations for myself .,0
I asked my friend's crush on a date . ,she will say no .,I practiced what I would say in front of the mirror.,0
I asked my friend's crush on a date . ,she will say no .,I left my phone number just in case.,0
I asked my uncle for help to fix my car . ,he will refuse .,I practiced asking him in front of the mirror .,0
I asked my uncle for help to fix my car . ,he will refuse .,I bought a set of tools .,0
I asked my uncle for help to fix my car . ,he will refuse .,I begged him .,0
I asked my uncle for help to fix my car . ,I will be rejected .,I mentally prepare myself for the worst .,0
I asked my uncle for help to fix my car . ,I will be rejected .,I act casual and nonchalant .,0
I asked my uncle for help to fix my car . ,I will be rejected .,I asked hesitantly .,0
I asked my uncle for help to fix my car . ,he may not have the time .,I looked up some videos on how to fix it myself .,0
I asked my uncle for help to fix my car . ,he may not have the time .,I found a book about car repairs .,0
I asked my uncle for help to fix my car . ,he will say no and I'll have to fix it myself .,I practiced first what I will say .,0
I asked my uncle for help to fix my car . ,he will say no and I'll have to fix it myself .,I prepared some convincing points .,0
I asked my uncle for help to fix my car . ,he will say no and I'll have to fix it myself .,I nervously awaited his answer .,0
I asked my uncle for help to fix my car . ,he will say no .,I use a few tools I found in the garage.,0
I asked my uncle for help to fix my car . ,he will say no .,I asked hesitantly .,0
I asked my uncle for help to fix my car . ,he will say no .,I was hesitating to ask him .,0
"I was having trouble fixing my car, so I asked my dad for help . ",I will be seen as a child .,I tried to fix it myself .,0
"I was having trouble fixing my car, so I asked my dad for help . ",I will be seen as incompetent .,I tried to fix it myself .,0
"I was having trouble fixing my car, so I asked my dad for help . ",I will look like a child .,I pretended to know what I was doing .,0
"I was having trouble fixing my car, so I asked my dad for help . ",I will look like a child .,I feel ashamed .,0
"I was having trouble fixing my car, so I asked my dad for help . ",I will look like a child .,I studied some car guides before hand .,0
"I was having trouble fixing my car, so I asked my dad for help . ",he will be really mad at me .,I waited until he got home from work to tell him .,0
"I was having trouble fixing my car, so I asked my dad for help . ",he will be really mad at me .,I avoided asking him .,0
"I was having trouble fixing my car, so I asked my dad for help . ",he will be really mad at me .,I tried to do it myself .,0
"I was having trouble fixing my car, so I asked my dad for help . ",he may not have the time to help me .,I look for a video online .,0
"I was having trouble fixing my car, so I asked my dad for help . ",he may not have the time to help me .,I look up some car manuals online.,0
"I was having trouble fixing my car, so I asked my dad for help . ",he may not have the time to help me .,I find a nearby mechanic .,0
I asked my dad for help fixing the car . ,he will be angry .,I avoid asking him .,0
I asked my dad for help fixing the car . ,he will be angry .,I avoid eye contact and speak quietly .,0
I asked my dad for help fixing the car . ,he will be angry .,I nervously await his response .,0
I asked my dad for help fixing the car . ,he will say no .,I practiced what I wanted to say ahead of time .,0
I asked my dad for help fixing the car . ,he will say no .,I decided not to ask .,0
I asked my dad for help fixing the car . ,he will say no .,I prepared an explanation for why I need his help .,0
I asked my dad for help fixing the car . ,he may not know how .,I decided to look up a tutorial online .,0
I asked my dad for help fixing the car . ,he may not know how .,I find the car manual and bring it to him .,0
I asked my dad for help fixing the car . ,he may not know how .,I looked up a video on youtube.,0
I asked my dad for help fixing the car . ,he may not have the time .,I decided to try to fix it myself .,0
I asked my dad for help fixing the car . ,he may not have the time .,I checked the internet for a tutorial.,0
I needed to ask my date's father for help . ,I will be rejected .,I practiced what I would say in front of my dog .,0
I needed to ask my date's father for help . ,I will be rejected .,I rehearsed what I was going to say beforehand .,0
I needed to ask my date's father for help . ,I will be rejected .,I practiced what I was going to say .,0
I needed to ask my date's father for help . ,he will think I am a burden .,I use simple and polite words .,0
I needed to ask my date's father for help . ,he will think I am a burden .,I rehearsed what to say several times .,0
I needed to ask my date's father for help . ,he will think I am a burden .,I practiced what I was going to say .,0
I needed to ask my date's father for help . ,he will think I am a gold digger .,I worded my request very carefully .,0
I needed to ask my date's father for help . ,he will think I am a gold digger .,I brought my own car .,0
I needed to ask my date's father for help . ,he will think I am a gold digger .,I nervously explained my situation .,0
I needed to ask my date's father for help . ,he will think I am not good enough for his daughter .,I rehearsed what I was going to say .,0
I will ask my doctor tomorrow about my test results . ,hey will be bad .,I brace myself for the worst .,0
I will ask my doctor tomorrow about my test results . ,hey will be bad .,I have been trying toprepare myself .,0
I will ask my doctor tomorrow about my test results . ,I may have cancer .,I am preparing myself for the news .,0
I will ask my doctor tomorrow about my test results . ,I may have cancer .,I try to stay positive .,0
I will ask my doctor tomorrow about my test results . ,I may have cancer .,I try to remain optimistic.,0
I ask my doctor for a referral to see a specialist . ,my insurance won't cover it .,I call ahead to ask .,0
I ask my doctor for a referral to see a specialist . ,my insurance won't cover it .,I look online for cheaper options .,0
I ask my doctor for a referral to see a specialist . ,my insurance won't cover it .,I start to look up some in-network doctors.,0
I ask my doctor for a referral to see a specialist . ,he will say no .,I prepare my arguments in advance .,0
I ask my doctor for a referral to see a specialist . ,he will say no .,I try to act as casual as possible .,0
I ask my doctor for a referral to see a specialist . ,I may have a serious condition .,I brace myself for bad news .,0
I ask my doctor for a referral to see a specialist . ,I may have a serious condition .,I brace myself for the worst case scenario.,0
I ask my doctor for a referral to see a specialist . ,I may have a serious condition .,I request for a second opinion .,0
I ask my doctor for a referral to see a specialist . ,he may think I am wasting his time .,I try to be concise .,0
I ask my doctor about my hair loss . ,he doctor will give me a bad news .,I research about it on the internet before the appointment .,0
I ask my doctor about my hair loss . ,he doctor will give me a bad news .,I wear a hat to cover my hair .,0
I ask my doctor about my hair loss . ,he doctor will give me a bad news .,I keep my fingers crossed.,0
I ask my doctor about my hair loss . ,my hair loss is permanent .,I research natural treatments for hair loss .,0
I ask my doctor about my hair loss . ,my hair loss is permanent .,I am prepared for the worst case scenario.,0
I ask my doctor about my hair loss . ,my hair loss is permanent .,I start to look for a wig .,0
I ask my doctor about my hair loss . ,he will tell me that it is due to stress .,I search online for hair loss remedies .,0
I ask my doctor about my hair loss . ,he will tell me that it is due to stress .,I anxiety about what he will say .,0
I ask my doctor about my hair loss . ,he will tell me that it is due to stress .,I try to relax .,0
I ask my doctor about my hair loss . ,he may not have a answer .,I feel nervous.,0
I ask my doctor about my hair loss . ,he may not have a answer .,I do some research online .,0
I ask my doctor about my hair loss . ,he may not have a answer .,I research the internet for possible causes .,0
My grandma asked her doctor if it was okay for her to travel with her diabetes . ,he doctor will say no .,I research what I should do to care for my grandma before her trip .,0
My grandma asked her doctor if it was okay for her to travel with her diabetes . ,he doctor will say no .,I researched medical insurance for people with diabetes .,0
My grandma asked her doctor if it was okay for her to travel with her diabetes . ,she will get rejected .,she only pack her bags quietly .,0
My grandma asked her doctor if it was okay for her to travel with her diabetes . ,she will get rejected .,she brought her medication just in case .,0
My grandma asked her doctor if it was okay for her to travel with her diabetes . ,she may not be able to control her blood sugar on the trip .,she take her insulin with her just in case .,0
My grandma asked her doctor if it was okay for her to travel with her diabetes . ,she may not be able to control her blood sugar on the trip .,she asked the doctor what she could do to make sure her blood sugar would be stable.,0
My grandma asked her doctor if it was okay for her to travel with her diabetes . ,she may not make it back safely .,I bought her some travel insurance .,0
My grandma asked her doctor if it was okay for her to travel with her diabetes . ,she may not make it back safely .,I urged her to not go on the trip .,0
My grandma asked her doctor if it was okay for her to travel with her diabetes . ,she may not make it back safely .,I told her to be extra careful.,0
I asked the doctor if I could have a note to get out of P.E . ,I will get laughed at .,I brace myself for the impact .,0
I asked the doctor if I could have a note to get out of P.E . ,I will get laughed at .,I rehearsed what I was going to say in my head .,0
I asked the doctor if I could have a note to get out of P.E . ,he will say no .,I smiled and asked politely.,0
I asked the doctor if I could have a note to get out of P.E . ,he will say no .,I persuasive language .,0
I asked the doctor if I could have a note to get out of P.E . ,he will say no .,I asked in a polite and gentle voice .,0
I asked the doctor if I could have a note to get out of P.E . ,she will say no .,I have an excuse ready .,0
I asked the doctor if I could have a note to get out of P.E . ,she will say no .,I bring my gym clothes just in case .,0
I asked the doctor if I could have a note to get out of P.E . ,she will say no .,I stutter and say sorry a lot.,0
I asked the doctor if I could have a note to get out of P.E . ,he may not give me one .,I brought my own note from home .,0
I asked the doctor if I could have a note to get out of P.E . ,he may not give me one .,I had a note from my mom prepared .,0
I asked the doctor if I could have a note to get out of P.E . ,he may not give me one .,I smiled and asked politely.,0
I asked my coach for permission to tryout . ,I will be rejected .,I researched the tryout process and practiced my skills .,0
I asked my coach for permission to tryout . ,I will be rejected .,I dress up in my fanciest clothes .,0
I asked my coach for permission to tryout . ,I will be rejected .,I mentally prepared myself for the worst outcome .,0
I asked my coach for permission to tryout . ,she will say no .,I was prepared for the worst .,0
I asked my coach for permission to tryout . ,she will say no .,I asked humbly .,0
I asked my coach for permission to tryout . ,she will say no .,I was very surprised when she said yes.,0
I asked my coach for permission to tryout . ,he will say no .,I try to act confident .,0
I asked my coach for permission to tryout . ,he will say no .,I was surprised when he said yes.,0
I asked my coach for permission to tryout . ,he will say no .,I change the subject.,0
I asked my coach for permission to tryout . ,he may not let me .,I nervously await his response .,0
I asked my coach for permission to tryout . ,he may not let me .,I begged and pleaded with him .,0
I asked my coach for permission to tryout . ,he may not let me .,I begged him on my knees .,0
I asked my father for permission to go out with my friends . ,he will say no .,I prepare some reasons why I should go out .,0
I asked my father for permission to go out with my friends . ,he will say no .,I practiced what I wanted to say .,0
I asked my father for permission to go out with my friends . ,he will say no .,I nervously await his response.,0
I asked my father for permission to go out with my friends . ,he will not let me go .,I lower my voice and ask again .,0
I asked my father for permission to go out with my friends . ,he will not let me go .,I begged and pleaded with him.,0
I asked my father for permission to travel to Europe . ,he will not allow me .,I am prepared to negotiate with him.,0
I asked my father for permission to travel to Europe . ,he will not allow me .,I begged and pleaded with him .,0
I asked my father for permission to travel to Europe . ,he will say no .,I proposed a plan to show him how I will fund the trip .,0
I asked my father for permission to travel to Europe . ,he will say no .,I begged and pleaded .,0
I asked my father for permission to travel to Europe . ,he will not let me go .,I begged him .,0
I asked my father for permission to travel to Europe . ,he will not let me go .,I present my case thoroughly .,0
I asked my father for permission to travel to Europe . ,he will not let me go .,I begged and pleaded .,0
I asked my friends for help . ,I will be rejected .,I pretend that I'm okay .,0
I asked my friends for help . ,hey will think I am weak .,I pretend that I am okay .,0
I asked my friends for help . ,hey will think I am weak .,I act like I know what I am doing .,0
I asked my friends for help . ,I will be a burden to them .,I try to find the answer by myself .,0
I asked my friends for help . ,I will be a burden to them .,I refused their help .,0
I asked my friends for help . ,I will be a burden to them .,I try to figure it out by myself first .,0
I asked my friends for help . ,hey will say no .,I didn't bother asking.,0
I asked my friends for help . ,hey will not be able to help me .,I try to find the answer by myself .,0
"I was curious about a movie my friend's friend recommended, so I asked him for more information . ",I will be ignored .,I went on the internet to research it myself .,0
"I was curious about a movie my friend's friend recommended, so I asked him for more information . ",I will be ignored .,I stopped asking him .,0
"I was curious about a movie my friend's friend recommended, so I asked him for more information . ",I will be ignored .,I instead text my friend to ask about it.,0
"I was curious about a movie my friend's friend recommended, so I asked him for more information . ",I will be misunderstood .,I didn't ask in the end .,0
"I was curious about a movie my friend's friend recommended, so I asked him for more information . ",I will be misunderstood .,I didn't say anything .,0
"I was curious about a movie my friend's friend recommended, so I asked him for more information . ",I will be misunderstood .,I left the conversation.,0
"I was curious about a movie my friend's friend recommended, so I asked him for more information . ",he may think I am not interested in his movie suggestion .,I'll stop asking questions .,0
"I was curious about a movie my friend's friend recommended, so I asked him for more information . ",he may think I am not interested in his movie suggestion .,I lied and said I was .,0
"I was curious about a movie my friend's friend recommended, so I asked him for more information . ",he may think I am not interested in his movie suggestion .,I change the subject.,0
I asked my friend for her recommendations for my trip to Japan . ,she will think I'm not capable of planning my own trip .,I provided her with my specific itinerary .,0
I asked my friend for her recommendations for my trip to Japan . ,she will think I'm not capable of planning my own trip .,I feigned disinterest in her recommendations.,0
I asked my friend for her recommendations for my trip to Japan . ,she will think I'm not capable of planning my own trip .,I was very specific about what I wanted to do .,0
I asked my friend for her recommendations for my trip to Japan . ,my questions are too much .,I try to research on my own .,0
I asked my friend for her recommendations for my trip to Japan . ,my questions are too much .,I stopped asking .,0
I asked my friend for her recommendations for my trip to Japan . ,my questions are too much .,I feel shy and embarrassed.,0
I asked my friend for her recommendations for my trip to Japan . ,she will say no .,I was not surprised when she said no.,0
I asked my friend for her recommendations for my trip to Japan . ,she will say no .,I pre-planned my own trip .,0
I asked my friend for her recommendations for my trip to Japan . ,she will say no .,I asked her tentatively.,0
I asked my friend for her recommendations for my trip to Japan . ,she may not have any good recommendations .,I looked online for tips .,0
I asked my friend for her recommendations for my trip to Japan . ,she may not have any good recommendations .,I research online .,0
I asked my friend for her recommendations for my trip to Japan . ,she may not have any good recommendations .,I looked up some travel blogs .,0
I asked my friend for her recommendations for my trip to Japan . ,she will judge me for not knowing where to go .,I lied and said I had already been there before .,0
I asked my friend for her recommendations for my trip to Japan . ,she will judge me for not knowing where to go .,I research online .,0
I asked my friend for her recommendations for my trip to Japan . ,she will judge me for not knowing where to go .,I research popular tourist destinations in Japan .,0
I asked my friend to ask the girl I like out for me . ,she will turn me down .,I prepare to get rejected .,0
I asked my friend to ask the girl I like out for me . ,she will turn me down .,I mentally prepare myself for the worst outcome .,0
I asked my friend to ask the girl I like out for me . ,she will turn me down .,I asked her out myself .,0
I asked my friend to ask the girl I like out for me . ,she will say no .,I asked her out myself .,0
I will ask my friends for their opinion on my project . ,hey will say it is bad .,I work on it more to make it better.,0
I will ask my friends for their opinion on my project . ,hey will say it is bad .,I get upset and stop working on it .,0
I will ask my friends for their opinion on my project . ,hey will say it is not good enough .,I will work harder on it.,0
I will ask my friends for their opinion on my project . ,hey will say it is not good enough .,I work on it more.,0
I will ask my friends for their opinion on my project . ,hey will say it is not good enough .,I will make some changes .,0
I will ask my friends for their opinion on my project . ,hey will not like it .,I try to be open to their suggestions.,0
I will ask my friends for their opinion on my project . ,hey will not like it .,I will be very nervous .,0
I will ask my friends for their opinion on my project . ,hey will not like it .,I work on it some more .,0
I will ask my friends for their opinion on my project . ,heir criticism will be harsh .,I try to be thick-skinned .,0
I will ask my friends for their opinion on my project . ,heir criticism will be harsh .,I seek reassurance from my mentor .,0
I will ask my friends for their opinion on my project . ,heir criticism will be harsh .,I harden myself for the worst .,0
I will ask my friends for their opinion on my project . ,hey will not be honest with me .,I am always weary of their feedback .,0
I will ask my friends for their opinion on my project . ,hey will not be honest with me .,I will take what they say with a grain of salt .,0
I asked my friend for advice on how to handle my boss . ,he will think I am incompetent .,I lower my voice when I speak to him .,0
I asked my friend for advice on how to handle my boss . ,he will think I am incompetent .,I downplayed the situation.,0
I asked my friend for advice on how to handle my boss . ,he will think I am incompetent .,I avoid his gaze .,0
I asked my friend for advice on how to handle my boss . ,I will be ignored .,I just listen to her rant .,0
I asked my friend for advice on how to handle my boss . ,I will be ignored .,I feel upset and left early .,0
I asked my friend for advice on how to handle my boss . ,I will be ignored .,I decided not to ask her .,0
I asked my friend for advice on how to handle my boss . ,my boss will be mad .,I approached my friend carefully .,0
I asked my friend for advice on how to handle my boss . ,my boss will be mad .,I spoke to my friend very quietly .,0
I asked my friend for advice on how to handle my boss . ,my boss will be mad .,I be more careful with how I word my request.,0
I asked my friend for advice on how to handle my boss . ,she may think I'm incompetent .,I try to ask more assertive .,0
I asked my friend for advice on how to handle my boss . ,she may think I'm incompetent .,I try to downplay the situation .,0
I asked my friend for advice on how to handle my boss . ,she may think I'm incompetent .,I stuttered while I was asking the question .,0
I asked my friend for advice on how to handle my boss . ,he will think I am not capable of doing my job .,I pretend like everything is fine .,0
I asked my friend for advice on how to handle my boss . ,he will think I am not capable of doing my job .,I try to listen to his advice and be more confident.,0
I asked my friend for advice on how to handle my boss . ,he will think I am not capable of doing my job .,I kept my question to myself.,0
I asked my friends for advice on how to handle the situation . ,hey will think I am weak .,I tried to be strong .,0
I asked my friends for advice on how to handle the situation . ,hey will think I am weak .,I keep the problem to myself .,0
I asked my friends for advice on how to handle the situation . ,hey will think I am weak .,I did not tell them what happened .,0
I asked my friends for advice on how to handle the situation . ,heir advice won't help .,I don't listen to them .,0
I asked my friends for advice on how to handle the situation . ,heir advice won't help .,I handle it myself .,0
I asked my friends for advice on how to handle the situation . ,hey will judge me .,I keep it to myself.,0
I asked my friends for advice on how to handle the situation . ,hey will judge me .,I keep the problem to myself .,0
I asked my friends for advice on how to handle the situation . ,hey will judge me .,I avoid talking to them about it.,0
I asked my friends for advice on how to handle the situation . ,hey will laugh at me .,I said it in a joking way .,0
I asked my friends for advice on how to handle the situation . ,hey will laugh at me .,I kept it to myself .,0
I asked my friends for advice on how to handle the situation . ,hey will laugh at me .,I didn't tell them what happened .,0
I asked my friends for advice on what to see and do while I am traveling in Europe . ,hey will think I am not independent .,I made my own research .,0
I asked my friends for advice on what to see and do while I am traveling in Europe . ,hey will think I am not independent .,I found a travel book .,0
I asked my friends for advice on what to see and do while I am traveling in Europe . ,hey will think I am not independent .,I listed some activities before asking for their suggestions.,0
I asked my friends for advice on what to see and do while I am traveling in Europe . ,I will not have enough time to do everything .,I made a list of priorities .,0
I asked my friends for advice on what to see and do while I am traveling in Europe . ,I will not have enough time to do everything .,I make a list of the activities that are most important to me.,0
I asked my friends for advice on what to see and do while I am traveling in Europe . ,I will not be able to do everything that they are suggesting .,I make a list of the top five things that I really want to do .,0
I asked my friends for advice on what to see and do while I am traveling in Europe . ,I will not be able to do everything that they are suggesting .,I create a list of places that I want to visit .,0
I asked my friends for advice on what to see and do while I am traveling in Europe . ,I will not be able to do everything that they are suggesting .,I make a list of priorities.,0
I asked my friends for advice on what to see and do while I am traveling in Europe . ,hey will just tell me what they think I want to hear .,I research online .,0
I asked my friends for advice on what to see and do while I am traveling in Europe . ,hey are not giving me good advice .,I research online .,0
I asked my friends for advice about how to ask the girl I like out . ,she will say no .,I practiced what I was going to say.,0
I asked my friends for advice about how to ask the girl I like out . ,I will be rejected .,I practiced my speech in front of the mirror .,0
I asked my friends for advice about how to ask the girl I like out . ,I will be rejected .,I practiced what I was going to say .,0
I asked my friends for advice about how to ask the girl I like out . ,I will be rejected .,I prepared some possible responses to her answer .,0
I asked my friends for advice about how to ask the girl I like out . ,hey will say no .,I feel really upset.,0
I asked my friends for advice about how to ask the girl I like out . ,hey will say no .,I feel a little nervous .,0
I asked my friends for advice about how to ask the girl I like out . ,hey will say no .,I felt a little down.,0
I asked my friends for advice about how to ask the girl I like out . ,hey will think I am weird .,I make up an excuse about needing help with my homework .,0
I asked my friends for advice about how to ask the girl I like out . ,hey will think I am weird .,I make up a story about why I am asking .,0
I asked my friends for advice about how to ask the girl I like out . ,hey will think I am weird .,I don't listen to them .,0
I asked my friend's girlfriend out on a date . ,she will say no .,I brought a bunch of flowers .,0
I asked my friend's girlfriend out on a date . ,she will say no .,I practiced my line multiple times .,0
I asked my friend's girlfriend out on a date . ,she will say no .,I practice what I am going to say in my head .,0
I asked my friend's girlfriend out on a date . ,she will tell my friend and he will be mad .,I asked her out on a date secretly .,0
I asked my friend's girlfriend out on a date . ,she will tell my friend and he will be mad .,I told him first.,0
I asked my friend's girlfriend out on a date . ,she may not like me .,I brought some chocolates .,0
I asked my friend's girlfriend out on a date . ,she may not like me .,I didn't give her a straight answer .,0
I asked my friend's girlfriend out on a date . ,she may not like me .,I rehearsed what I would say to her .,0
I asked my girlfriend what she wanted for dinner and she said she didn't know . ,I will have to make the decision myself .,I suggested we order pizza .,0
I asked my girlfriend what she wanted for dinner and she said she didn't know . ,I will have to make the decision myself .,I asked her what her favorite food was .,0
I asked my girlfriend what she wanted for dinner and she said she didn't know . ,I will have to make the decision myself .,I asked her what she was in the mood for .,0
I asked my girlfriend what she wanted for dinner and she said she didn't know . ,I have to make the decision for both of us .,I asked her if she was in the mood for Italian or Chinese .,0
I asked my girlfriend what she wanted for dinner and she said she didn't know . ,I have to make the decision for both of us .,I order us both the same thing.,0
I asked my girlfriend what she wanted for dinner and she said she didn't know . ,I have to make the decision for both of us .,I asked her what her favorite food was.,0
I asked my girlfriend what she wanted for dinner and she said she didn't know . ,she is going to break up with me .,I didn't know what to say .,0
I asked my girlfriend what she wanted for dinner and she said she didn't know . ,she is going to break up with me .,I asked her again.,0
I asked my friends girlfriend to marry me while we were on a trip to Italy . ,I will be rejected .,I practiced what I would say ahead of time.,0
I asked my friends girlfriend to marry me while we were on a trip to Italy . ,I will be rejected .,I asked her best friend for help .,0
I asked my friends girlfriend to marry me while we were on a trip to Italy . ,I will be rejected .,I bought a cheaper ring as a backup .,0
I asked my friends girlfriend to marry me while we were on a trip to Italy . ,she will refuse .,I practiced my speech many times .,0
I asked my friends girlfriend to marry me while we were on a trip to Italy . ,she will refuse .,I decided to secretly buy a ring .,0
I asked my friends girlfriend to marry me while we were on a trip to Italy . ,she will refuse .,I practiced what I was going to say in front of the mirror .,0
I asked my friends girlfriend to marry me while we were on a trip to Italy . ,she will say no .,I carefully selected the ring .,0
I asked my friends girlfriend to marry me while we were on a trip to Italy . ,she will say no .,I had a backup plan .,0
I asked my friends girlfriend to marry me while we were on a trip to Italy . ,she will say no .,I plan to ask her again in a more romantic setting .,0
I asked my friend's girlfriend to the movies . ,she will say no .,I tell her that we can just be friends .,0
I asked my friend's girlfriend to the movies . ,she will say no .,I brought some flowers .,0
I asked my friend's girlfriend to the movies . ,she will say no .,I nervously awaited her response .,0
I asked my friend's girlfriend to the movies . ,she may think I am asking her out on a date .,I clarified that I just wanted to be friends.,0
I asked my friend's girlfriend to the movies . ,she may think I am asking her out on a date .,I specified that I just wanted to see the new Marvel movie with her .,0
I asked my friend's girlfriend to the movies . ,she may think I am asking her out on a date .,I make sure to emphasize that I am asking as friends.,0
I asked my friend's grandmother for a recipe . ,she will think I'm lazy .,I said that I wanted to learn to cook .,0
I asked my friend's grandmother for a recipe . ,she will think I'm lazy .,I said I would try to find it online first .,0
I asked my friend's grandmother for a recipe . ,she will think I'm lazy .,I say that I'm cooking for a party .,0
I asked my friend's grandmother for a recipe . ,I will be rejected .,I tried to act casual .,0
I asked my friend's grandmother for a recipe . ,I will be rejected .,I charmingly smile and say please.,0
I asked my friend's grandmother for a recipe . ,I will be rejected .,I smile and say 'thank you' when she tells me no .,0
I asked my friend's grandmother for a recipe . ,she will not give it to me .,I pretended that I wanted to make it for a friend .,0
I asked my friend's grandmother for a recipe . ,she will not give it to me .,I brought her some flowers .,0
I asked my friend's grandmother for a recipe . ,she will not give it to me .,I politely asked her again .,0
I asked my friend's grandmother for a recipe . ,she may think I'm trying to copy her .,I explained that I just wanted to make it for fun .,0
I asked my friend's grandmother for a recipe . ,she may think I'm trying to copy her .,I compliment her cooking .,0
I asked my friend's grandmother for a recipe . ,she will think I am not a good cook .,I Flattered her with a compliment.,0
I asked my friend's grandmother for a recipe . ,she will think I am not a good cook .,I brought her one of my best dishes .,0
I asked my friend's grandmother for a recipe . ,she will think I am not a good cook .,I asked her to show me how to make it instead.,0
I was asking my grandmother for her recipe for apple pie . ,she will refuse to give it to me .,I asked her why she won't give it to me .,0
I was asking my grandmother for her recipe for apple pie . ,she will refuse to give it to me .,I begged her .,0
I was asking my grandmother for her recipe for apple pie . ,she will say no .,I brought her some apples from the farmer's market .,0
I was asking my grandmother for her recipe for apple pie . ,she will say no .,I begged and pleaded with her.,0
I was asking my grandmother for her recipe for apple pie . ,she will say no .,I asked politely.,0
I was asking my grandmother for her recipe for apple pie . ,she will not want to share it with me .,I was pleasantly surprised when she did.,0
I was asking my grandmother for her recipe for apple pie . ,she will not want to share it with me .,I bake a pie from scratch using a different recipe .,0
