situation,clue,thought,polarity
I took my date to the library on our first date . , books are important to her . , I won her heart . ,1
My friend asked me to go to homecoming with him . , ive known him for a while and we get along . , we might have a good time . ,1
I listen to my boss's experiences and base my decisions off of them . , he is the boss and he knows more than me . , my boss is always right . ,1
"After arriving at my aunt's house, I realized that she had been planning her own trip . ", I was supposed to help her plan the trip . , feel terrible since I think I will be blamed . ,0
I asked my husband if he wanted to go on a trip with me to visit our families . , we have never been on a trip just the two of us . , it would be a great bonding experience for us . ,1
I have achieved my travel goals for this year . , I saved up a lot of money . , I will be able to travel again next year as well . ,1
I asked my neighbor for a cup of sugar . , I never borrow anything from him . , he will think I am a terrible cook . ,0
I was talking to my little brother the other day and he asked me how I make friends . , I have a lot of friends . , I have great social skills . ,1
I give my boss an explanation for why I was late to work . , he knows I have a family to take care of . , he will be understanding . ,1
I asked my friends for their numbers so I could stay in touch with them . , we have exchanged numbers . , we will be friends for a long time . ,1
I ask all my friends if they want to go out to eat with me and my boss . , they are all my friends and I have asked them before . , they will all say yes . ,1
I adopted every appearance and mannerism of my boss in order to get ahead in my career . , He is always out of the office and I have been doing a lot of his work . , I am going to get his job . ,1
I am going to ask my friend's crush out on a date . , I will be spending time with someone I like. , I will have a lot of fun . ,1
I was at the gun range the other day practicing my aim . , I'm shaking so much . , I will never be able to shoot accurately . ,0
"I try to tell my father that I do not want to take over his company, but he tells me that I belong to the company . ", he is not making me feel guilty about my decision . , my father respects my wishes . ,1
"My best friend asks me to go to the dance with him , but I don't know how to dance . ", he loves to dance and I love to watch him dance . , we would have a lot of fun . ,1
I asked all my friends to come over to my house tonight . , it will be a great opportunity to catch up with everyone . , they will have fun . ,1
My butler announced the queen's arrival . , I didn't tell her that the queen was coming . , that she will be angry with me . ,0
My grandparents have asked me to visit them in Florida . , they are always taking me to fun places . , it will be a lot of fun . ,1
"I interview for a job, and the interviewer asks me some questions . ", I'm not good at interview . , I will not get the job . ,0
I admire my friend's work as an artist . , I didn't practice hard enough . , I am not good enough . ,0
My boss asked for an explanation of my tardiness . , I have a doctor's note . , he will understand my reason . ,1
I raised my eyebrow to look arrogant . , I intended it to look cool . , people will take it the wrong way . ,0
I asked my boss to sign my leave form . , I have not completed my work . , she will say no . ,0
I am babysitting my friend's cousin while they go out on a date . , my friend trusts me to take care of her cousin . , I am helping them out . ,1
I was playing chess with my boss's dad and I won . ," When I was playing chess with my boss's dad and I won, I think he will give me a raise since I have displayed my intelligence and skills . ", he will give me a raise . ,1
I broke my hip while playing soccer . , I usually don't get much attention . , I will be able to use this injury as an excuse to get attention from my friends and family . ,1
I asked my friend's boyfriend if he wanted to go on a trip with us to the Caribbean . , he said he loves tropical places and the Caribbean is a great place to visit . , he will join us . ,1
I asked all my friends to come over to my house tonight . , I didn't give them enough notice . , they will not show up . ,0
"A lot of people crowd around me, straining to hear what I'm saying . ", they are not interested in what I have to say . , I will be judged . ,0
I am leading a team of people in a marathon . , we haven't trained well . , we may not finish . ,0
I gave my brother some money so he could afford a new car . , he is always telling me how much he appreciates my help . , he will use it to get a job and be able to support himself . ,1
I agree to try the new coffee flavor even though I don't like coffee . , I won't like it . , it will be a waste of money . ,0
I beat my friend in a race . , I have never beaten him before . , I will be accused of cheating . ,0
I brought my son with me on my business trip to London . , I didn't ask my husband to watch him . , I might not be able to find a babysitter . ,0
I give a speech about why women should be in the workforce . , it is something that I am very passionate about . , it is an incredibly important topic . ,1
I have attained my goal of becoming CEO . , I don't have experience leading a company . , I may not be good enough . ,0
I asked my neighbor for a recommendation for a good place to travel . , I have never traveled before . , I will never be able to travel because of my fear . ,0
I adjust my work schedule to fit my boss's schedule . , my boss can count on me to be understanding . , it positively shows I am flexible . ,1
"I saw my friend's crush at the library the other day, so I went up and talked to her . ", she has been talking about her a lot lately . , my friend will appreciate it . ,1
"As my relationships with others increase, I find that I am more likely to travel . ", I will be too busy with work and family . , I will never have time to travel . ,0
I was playing tennis with my friend and I won . , he is very competitive . , I will make him angry . ,0
My boss asked me to have dinner with him . , he is always mad at me . , I will be fired . ,0
I spend many hours working on a project that I'm not interested in . , I'm trying my best . , I will get a good grade . ,1
I also took out the new girl on a date . , I'm really nervous . , she will dump me . ,0
I agree to the challenge of being able to work less and still get paid the same . , I will be expected to do the same work in less time . , I will have to do more work . ,0
I asked for his pardon after I hit him with my car . , I was speeding . , he may not accept . ,0
I ask my friend to teach me how to play chess . , it's too difficult . , I will never understand the game . ,0
I am proposing to my girlfriend . , we just started dating  . , she' ll say no . ,0
I asked the professor if I could have an extension on the project . , I have a good track record in the class . , the professor will say yes . ,1
My boss adds fuel to the fire by constantly putting me down in front of others . , I might not be the best fit for the job . , he's trying to make me quit . ,0
"I don't act my age, according to my friends . ", I am not doing what people my age are doing . , I am not acting my age . ,0
I will appear for my interview tomorrow . , I am not confident . , I will not be able to clear it . ,0
I asked my boss to have lunch with me to discuss the upcoming project . , I have worked hard and have been an asset to the company . , he or she will offer me the job . ,1
I act weird around people i am interested in . , it seems to work . , I will give them a good impression of me . ,1
"I don't act my age, according to my friends . ", I am not acting like an adult . , I will be laughed at . ,0
I ask my boss for an explanation of why my project was not accepted . , I'm  standing up for myself . , I am being assertive . ,1
I asked my friend for her recommendations for my trip to Japan . , I have never been there before . , she will judge me for not knowing where to go . ,0
He's advancing towards me with a knife . , he has a dangerous look in his eyes . , he's going to kill me . ,0
I was in class when the professor called on me . , I had studied . , I would know the answer . ,1
I am keeping my fingers crossed for my job interview today . , I am the best candidate and I have prepared a lot . , I will get the job . ,1
My dad told me that he used to beat my grandfather at arm wrestling when they were younger . , my dad is very strong . , my grandfather was always a weakling . ,0
I bought my first car . , it was a big responsibility . , I felt like an adult . ,1
I asked my friend for advice about my boyfriend . , I have been dating him for a while and she has known him longer . , she is right . ,1
The boss asserted his authority by yelling at the employees . , he has the power to do so . , he will be respected . ,1
I was talking to my daughter about traveling the world together . , I have a lot of money . , I could make it happen . ,1
I put your plan into action and got the girl's number . , she is probably not interested . , it won't work out . ,0
I bared my soul to my therapist . , I am confessing all my dark thoughts . , he will think I am crazy . ,0
I raised my eyebrow to look arrogant . , my friends told me later . , I looked like an arrogant jerk . ,0
I bring home my date to my parent's house for the first time . , they are all very friendly . , my date will  like my family and get along with them . ,1
I asked my biology teacher if I could do my project on endangered animals . , it is a topic that I am passionate about . , I would learn more about the animal kingdom . ,1
I asked my friend what she wanted for her birthday . , I know how much she likes that type of thing . , she will appreciate the thoughtful gift I got her . ,1
I have the same name as my dad . , we look alike . , people will get us confused . ,0
I asked my mom for help picking out a dress for my date . , she is always so supportive . , she will help me look my best . ,1
I ask my doctor about my hair loss . , the doctor seems to be avoiding my question . , my hair loss is permanent . ,0
"I was at the store and I saw a lady fall down, so I asked her if she was okay . ", I was the only one nearby . , I will be blamed for her fall . ,0
I need help from my friends planning my next birthday party . , they are always game to help out and they know how to throw a great party . , it will be a fun bash . ,1
A couple who has been married for 5 years decides to adopt a child . , they have been through the ups and downs of a relationship and have a lot of love to give . , they will be great parents . ,1
I asked my boss what happened in the meeting . , I have been working hard and he has been happy with my work . , I will get a promotion . ,1
We were waiting in line for the new iPhone . , we have waited for so long  . , we will get them . ,1
I agree to go on a date with the person I met at the bar . , we both like the same music . , we might have a connection . ,1
I attained the new girl's number at school . , I am charming and she smiled at me . , I'll get a date with her . ,1
I asked my date's grandmother for her blessing . , she said yes . , it's a sign that things are going well . ,1
I have to accept my employees resignation because he is caught stealing from the company . , it's my responsibility to make sure everyone is doing their job correctly . , I failed to manage my team . ,0
I asked my friend to stay for two weeks . , he was very active and happy during his stay . , he enjoyed his stay . ,1
I am going to bring my laptop to class tomorrow . , it's getting old . , it may break . ,0
I appear on stage with my band mates to the screaming of the audience . , we practiced a lot . , we will make an awesome show . ,1
I asked my daughter to help me with the dishes . , she is always busy with her cell phone . , she will never help me . ,0
I ask my roommate to turn down the music so I can concentrate on studying . , she likes to listen to music while she studies . , she will not do it . ,0
I advance my career by networking and going to industry events . , it will give me more opportunities to meet people in my field . , it will increase my chances of success . ,1
I accomplished my goal of reading 100 books this year . , I have read a lot of different things . , it will make me smarter . ,1
"After the divorce, I allowed my ex to keep the dog . ", it made me feel better  . , positive thinking positive thoughts . ,1
I was at my friend's house and she started biting her nails and I realized I do the same thing . , it seems to be a nervous habit . , I may have an issue with nail biting . ,0
"We were having a bonfire, and my brother added some gasoline to make it bigger . ", she is not qualified . , she will not be elected . ,0
I begin my career as an accountant . , that is what  I have heard from others in the profession . , I will have to work long hours . ,0
My sister is arranging an interview for me with her boss . , I don't have any working experience . , it will be an uncomfortable surprise . ,0
I broke my mom's favorite vase when I was moving out of my apartment . , she was really understanding and didn't get mad at me . , I have a great relationship with my mom . ,1
My best friend's dad beat my friend in a race . , we usually have breakfast together on the weekends . , I will get to eat breakfast . ,1
the police stopped and searched me . , the police are corrupt . , I would be framed for a crime . ,0
"The more I learn about my co-workers, the more I realize how much we have in common . ", we have different interests and opinions . , that we have nothing in common . ,0
I was arguing with my brother and I said something that just made him angry . , he left the room angry and didn't say anything . , I might have won the argument . ,1
"After arriving at my aunt's house, I realized that she had been planning her own trip . ", she always wanted to travel the world . , she will have fun . ,1
I am hugging my boss tightly as a sign of appreciation . , I am not supposed to show emotions at work . , he will think I am unprofessional . ,0
I asked my parents for money to buy a car . , they are always supportive . , they will give me what I want . ,1
I am going to ask my friend's crush out on a date . , I am really shy around people I don't know well . , he/she will say no . ,0
I asked her what she thought about the proposal . , she has been wanting this for a while . , she will respond positively . ,1
I am asking my brother to forgive me for taking his car without asking . , I have never been forgiven by him when I took something from him without asking . , I will be rejected . ,0
I will ask my doctor tomorrow about my test results . , he has been very positive about my health so far . , everything is going to be okay . ,1
I ask my boss to call off the meeting because I'm not feeling well . , my boss is a kind person . , I might get a chance to go home early . ,1
I asked the tour guide what happened to the ancient city that used to be here . , I am interested in history . , she will give me a long lecture . ,0
I asked my friend to come with me to try out for the soccer team . , he has played before . , he has potential . ,1
I was talking to my little brother the other day and he asked me how I make friends . , I can make friends easily . , I have great social skills . ,1
I have just begun looking for a new place to live . , apartments in this area are so expensive . , I will not be able to find an apartment that I can afford . ,0
I approached my friend's crush at the party . , I know she likes him too . , he will tell her and she will be mad . ,0
I put my luggage in the overhead compartment . , it's very heavy . , it will fall down . ,0
I am asking you to go with me to the movies . , you have already been to the movies this week . , you might say no . ,0
My boss's decision will affect my interests . , I may quarrel with him . , will be fired . ,0
I argued with my friends boyfriend because he was being really disrespectful to her . , I stuck up for her . , my friend appreciates me more now . ,1
I ask my boss if he wants to play tennis with me  next Saturday . , we always have fun when we play tennis together . , he will   think it is a great idea . ,1
I asked one of my best friends to teach me how to play the piano . , I never had any musical experience before . , he will judge me for not being good at it . ,0
I go to my boss for advice on how to handle a difficult work situation . , he is experienced and has a lot of knowledge about the company . , I will gain some valuable perspective . ,1
I asked a person I didn't know for a pencil . , I was too shy to speak . , she/he will think I am a beggar . ,0
"I was at the store and I saw a lady fall down, so I asked her if she was okay . ", I was just standing there staring at her  . , I will get scolded by the store manager . ,0
I attended my grandfather's funeral . , he is gone forever . , he will never come back . ,0
I just started my first internship this week at a prestigious law firm . , they are already familiar with the work and I am not . , I will not be able to catch up with the other interns . ,0
I was wondering if I could have your number? . , I just met you . , you might think I am a stalker . ,0
I asked my parents for money to travel . , they are always generous . , they  will give me what I asked for . ,1
I asked my boss if he was okay after he got in a car accident . , I didn't know him well . , he will think I'm prying . ,0
My father affords me protection . , I feel his presence even when I am in danger . , he is always there for me . ,1
I achieved my goal of quitting my day job and becoming a full-time writer . , I became very interested in writing when I was younger . , I am following my passion . ,1
"I was going to ask my girlfriend's dad for permission to marry her, but he passed away before I could . ", he's not alive anymore . , I will never be able to speak to him about it . ,0
I accomplish my purpose of getting a raise by sleeping with my boss . , that is what I really want . , I will have more money to spend on clothes . ,1
My boss asks me to stay  later to finish some work . , I'm not meeting his expectations . , he is going to give me a bad performance review . ,0
My friends ask me to marry her . , I found married life is not what I expected . , I will get divorce . ,0
I assume the new position at work . , I will have to train the new employees . , I will be unable to complete the project on time . ,0
"The military has been disbanded, and everyone is now trying to find new jobs . ", ive been looking for a while . , I will find a new job soon . ,1
The speaker aroused my interest in the talk . , I'm sleepy . , I would not be able to stay awake for the whole thing . ,0
"I was trying to go to my seat in the theatre, but someone was blocking my way . ", I had bought the ticket . , I will get my seat . ,1
I asked my dad for permission to go to the party . , I have to finish my homework first . , he will say no . ,0
I afford my rent by working two jobs . , I have a consistent income . , my job is secure . ,1
The nurse allayed my fears about the surgery and assured me that it would be quick and painless . , she was so kind and compassionate . , I would be in good hands . ,1
My best friend called me yesterday to catch up . , I have a lot of work to do . , I will be too busy to meet up with her . ,0
My sister is arranging an interview for me with her boss . , I don't have much experience . , the job is going to be really difficult . ,0
I hold my friends place in line while they go to the bathroom . , we have been best friends for over six years . , I am being a good friend . ,1
I asked my boss to have lunch with me to discuss the upcoming project . , we are both reasonable people . , we will come to an agreement . ,1
I argued my own case in front of the judge . , I  didn't have any solid evidence . , the jury will rule against me . ,0
I avenge my brother's death by killing the man who killed him . , I have completed my mission . , my brother will be at peace . ,1
My best friend called me yesterday to catch up . , we have not talked in a while . , we will have a great conversation . ,1
I accomplish my goals by working hard and studying diligently . , my grades have improved greatly . , my efforts positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively will be paid off . ,1
"I was at a networking event the other day and I met this really great guy, but I didn't catch his name . ", it's a small world . , we will bumped into each other again . ,1
The security guard only allows people with a pass to enter the building . , I have the pass . , I won't get lost . ,1
I assert my authority by telling my employees what to do . , no one likes to be bossed around . , I am a terrible leader . ,0
I accomplished my goal of fitness . , I will stop exercising . , I will get fatter . ,0
I asked my best friend to prom . , I'm not her type . , she will laugh at me . ,0
I was biting my tongue the other day to keep from saying something I would regret . , I didn't want to ruin the relationship I have with that person . , I made the mature decision . ,1
I argued with my friends boyfriend because he was being really disrespectful to her . , she will probably side with him . , she will dump me as her friend . ,0
I broke my mom's favorite vase when I was moving out of my apartment . , she loves me and knows that I am not perfect . , she will get over it soon . ,1
A couple from our town just adopted a little girl from China . , parent's love is different for adopted children . , they will never love her as much as they love their biological daughter . ,0
I brought my son with me on my business trip to London . , he was happy and excited the whole time we were there . , he enjoyed the sights . ,1
A couple from our town just adopted a little girl from China . , they only adopted her out of pity . , they will never love her as much as they love their biological daughter . ,0
My best friend's dad beat my friend in a race . , she doesn't like to lose . , she was really upset . ,0
I yelled back at my brother when he called me names . , he is my only brother . , I will regret it later . ,0
I was asking my friend for some advice on how to ask out my crush . , I am too scared to ask out my crush myself . , she might think I am pathetic . ,0
I have accomplished my goal of visiting every continent . , I have no money . , I may never get to visit space . ,0
I Amend the phone service contract . , it will lower the monthly bill . , the changes will be good for the company . ,1
"I try to tell my father that I do not want to take over his company, but he tells me that I belong to the company . ", my father is always in control . , I will never be able to make my own decisions . ,0
My dad is taking me to the library because I have a project due . , the library is so boring . , I will never be able to find anything good to read . ,0
I back my boss's car out of the driveway . , I'm not used to driving stick . , I may have just hit his mailbox . ,0
I asked my brother to teach me how to drive . , he is not in a good mood today . , he will get mad at me . ,0
I take my little sister to the park to afford her some pleasurable time outside . , she genuinely enjoys it there . , positively about the result . ,1
I begin my search for a new job . , I have done my research and know what I want . , I will find the perfect place for me . ,1
My boss allows me to enter his office . , he has been avoiding me these past few days . , he is going to ask me to do something difficult . ,0
One of my friends got into an argument with her boyfriend . , she cares about him a lot . , she is going to be really upset . ,0
I show everyone my new car . , it's a very nice car . , they will be jealous of me . ,0
My boss asked me to work the weekend and I agreed . , I work hard . , I get a day off during the week . ,1
I ask my friends for help in finding a job . , my friends will help me . , I will find a good job easily . ,1
A student asked the teacher for a pencil . , the teacher is looks like a kind person . , I positively think that the student will get a pencil . ,1
I am promoted to a position of power over my subordinates . , I know what it feels like to be in their position . , I will be able to help them out . ,1
I adjusted my seatbelt accordingly after the car began to speed up . , I will be better protected in case of a collision . , I  am preventing  a car accident . ,1
I brush my teeth at least twice a day . , I didn't brush my teeth correctly . , I will have dental problems . ,0
My boyfriend has asked me to marry him . , he loves me and I love him . , he's the one I want to spend the rest of my life with . ,1
I poured my heart out to my therapist about my struggles with depression and anxiety . , I have never talked about these issues with anyone before . , she will think I'm crazy . ,0
I beat my friend in a video game . , I usually win . , it means I'm better than them . ,1
I brought my son to school for the first time . , I will miss him so much . , I will not be able to see him during the day . ,0
I added another country to my travel bucket list . , there are so many amazing places in the world . , I will never be able to visit all the places I want to see . ,0
The board of directors accepted the CEO's resignation . , the board of directors were about to fired him . , the company will go bankrupt . ,0
I am going to bring my laptop to class tomorrow . , it shows that I am willing to work hard in her class . , my teacher will be happy to see it . ,1
I arrived at her friend's house to pick her up for our date . , her friend's house was in a bad neighborhood . , she may not be coming out . ,0
I attend my boss's meeting . , the meeting is very long . , I will be bored . ,0
I based my decision to change careers on my experience working in the corporate world . , I may not have the required skills for the new job . , I am not making the right decision . ,0
My mother was shaking me because I was coming home so late . , I had stayed out past my curfew . , it was because she was worried about me . ,1
I was biting my tongue the other day to keep from saying something I would regret . , I would have gotten into a lot of trouble if I had said what I was thinking . , I made the mature decision . ,1
I am getting in my friend's car to go to the movies . , we are laughing and talking . , we are going to have fun . ,1
The CEO was caught abusing his power by creating a slush fund . , it was a big scandal . , he will be fired . ,1
The board of directors accepted the CEO's resignation . , a new CEO was appointed the same day . , the company is going in a new direction . ,1
I was asking my daughter how her day was at school . , she was beaming from ear to ear . , she had a great day . ,1
The principal allowed the seniors access to the roof . , people were climbing and running on the slippery roof . , someone is going to get hurt . ,0
I achieved my goal of quitting my day job and becoming a full-time writer . , it's so hard to make a living as a writer . , I will never be able to make a living at it . ,0
I am promoted to a position of power over my subordinates . , I will be so much younger than them . , they will resent me . ,0
I broke my back last week when I fell off my bike . , I can walk again and my pain has decreased . , I am getting better . ,1
I bet my friend that I can finish my project before the deadline . , I'm confident in my abilities . , I'm going to win the bet . ,1
I ask my boss's opinion on what color to paint my office walls . , I am usually pretty good at picking out colors . , my boss will actually listen to me . ,1
My coworker is always advancing toward me and trying to engage in small talk . , we work in the same office . , she is trying to make friends with me . ,1
I broke my window yesterday . , it's a big window . , I will have to spend a lot of money to fix it . ,0
My lawyer will argue my case in court tomorrow . , she is well prepared . , I have a strong chance of winning . ,1
I allowed the intruder into my house . , he was only looking for money . , he wouldn't have hurt me . ,1
I announced my decision to join the army . , the army is at war . , I will be sent to the front line . ,0
I accepted his resignation begrudgingly . , he was the only one with that particular skill set . , I will need to look for another employee to train . ,0
The police officer afforded me protection when I testified against the mob boss . , I incriminated him  . , they will come after me . ,0
I am babysitting my friend's cousin while they go out on a date . , that is what they always get me when I do them a solid . , I will get paid in pizza . ,1
My friends ask me to prom . , I don't have any formal clothes  . , I will have to spend a lot of money on a dress . ,0
I have achieved my sales goals for the quarter . , my boss promised me one if I hit my targets . , I will earn a bonus . ,1
I am performing my duties as a maid . , I am usually very messy  . , I am not good enough . ,0
I almost hit a pedestrian with my car . , I was driving recklessly . , I will be arrested . ,0
My boss adds fuel to the fire by constantly putting me down in front of others . , he will realize that I am a great asset to the company . , it's only a matter of time before I get a promotion . ,1
I called my doctor this morning to schedule an appointment . , the schedule is booked solid . , I won't be able to get in for weeks . ,0
My boss allows me to enter his office . , I made too many mistakes at work . , I will be fired . ,0
I asked the grocery store clerk for pardon because I accidentally cut in front of her in line . , I was very rude . , she will not forgive me . ,0
I admire my friend's work as an artist . , I lack  talent . , my work will never be as good . ,0
I aroused my boss' interest with my new project proposal . , he  expects a lot from me . , he will put a lot of pressure on me to succeed . ,0
I asked my little sister's permission to borrow her laptop . , I have been a good sister to her and she knows I will take care of her laptop . , she will say yes . ,1
My parents just adopted a new kitten . , they said I could . , I am going to get to play with her soon . ,1
My boss is taking me out to lunch today to discuss my raise . , I have worked hard and put in the extra effort he asked for . , everything is going perfectly . ,1
I accidentally broke my mom's favorite vase when I was dusting it . , she was very attached to it . , she will never forgive me . ,0
I decided to go on a hike with my friends . , I am in good shape . , I would be able to make it to the top . ,1
I adapt my work schedule to the needs of my family . , they are  not  the  first  to  develop  the product . , they are not innovative . ,0
My employer asserts their right to privacy in the workplace . , they are not required to do so . , My employer is not committed to transparency . ,0
I asked my grandmother if she wanted to go on a trip with us to Paris . , she has always loved to travel . , she is going to enjoy the trip . ,1
I will agree to work on the project . , it is something I am passionate about . , it will be fun to work on . ,1
The students crowd around the table to get a better view of the experiment . , they have been asking questions about it . , they will be interested in the outcome . ,1
I bait my grandpa's hook when we go fishing . , I always do a good job . , he will praise me for my hard work . ,1
"I talked to my boss about getting a raise, and he agreed and gave me a raise . ", he is very nice . , I will owe him a lot . ,0
My best friend caught me cheating and I asked him to forgive me . , cheating is unforgivable . , he will hate me and never want to speak with me again . ,0
I asked my boss for my co-worker's number so I could ask her about the project . , I have been getting along with her and she has been helpful . , she will say yes . ,1
I asked the author to write a book about their experiences . , they have had a lot of interesting experiences . , it will be an interesting book . ,1
The government has admitted Puerto Rico as the 51st state of the United States . , they will be an official part of the United States . , this will give Puerto Ricans a better sense of security . ,1
I lead two groups in my church . , both of the groups are doing very well . , I am doing what God has called me to do . ,1
I asked my teacher for an assignment extension . , I've asked for too many extensions already . , he will say no . ,0
I ask my boss to let me leave early so I can attend my child's soccer game . , I have been working hard and put in extra hours recently . , he will allow me to leave . ,1
I just bought a new car . , it was very cheap . , it was the best decision . ,1
I ask all my friends if they want to go out to eat with me and my boss . , I will make sure to take care of the bill . , they will have a good time . ,1
We brought the team together for a training session . , I am new to the company . , I will be the only one who is not knowledgable . ,0
I have just begun looking for a new place to live . , the process of looking is so tiring . , I will never find a place I like . ,0
"I was going to take the easy way out and just do the bare minimum to pass the class, but my friend convinced me to push myself and take the harder course . ", I'm already struggling with the bare minimum . , I would not have been able to handle the extra work . ,0
I beat my father in a race . , I am faster than him . , I am able to beat him . ,1
I give my girlfriend flowers on our anniversary . , she prefers chocolates . , she won't like them . ,0
I ran the fastest 5k ever and beat my personal record . , I train hard and do not give up easily . , I am a great runner . ,1
I asked my son to come with me to the store . , he doesn't like shopping . , he will refuse . ,0
My father is attending to his duties as a doctor . , he is going save many lives . , he is going to make a lot of people have a better life . ,1
I brought home my ex-boyfriend's dog because he was moving out of the country and couldn't take her with him . , I have more time to spend with her and she loves me . , she'll be happier with me . ,1
I will get my degree soon . , I changed my major too many times . , I wasted my college years . ,0
I pretend to be interested in sports so that my male friends will not think I am weird . , I know nothing about sports . , I will not be able to keep up the act . ,0
My friend asks me out on a date tomorrow . , we have gone out before and we always have a great time . , we will have a great time tomorrow . ,1
I asked the cashier what was wrong because she was giving me a weird look . , she smiled back at me and said thank you for caring. , I did something nice . ,1
I really admire my boss's work . , I  am  just  a  new  staff  in  this  company . , I will be not appreciated . ,0
My boss is not allowing me access to the company credit card . , he's never been openness about money matters . , I will never get a raise . ,0
I have to adapt to my new environment in college . , I'm not used to new places . , I will be discriminated against . ,0
I broke my hip when I fell from the tree . , I survived . , I have a positive outlook on life . ,1
I would advise you to go on the earlier flight . , the plane will land sooner . , you will make it in time for your interview . ,1
The cashier was trying to explain to me why I couldn't use my credit card . , the cashier was taking a long time  . , I would end up getting the items for free . ,1
The cashier asks me for my ID . , I am over 21 . , I will be able to buy alcohol . ,1
I break my hip after falling down the stairs at my office . , it's a very complicated injury . , I will have to go through a surgery . ,0
I bet my best friend that I could wear heels for an entire day . , my feet hurt after five minutes . , I will lose the bet . ,0
I agreed to take my little sister to the mall . , she will want to buy everything she sees . , I will have to spend a lot of money . ,0
I give my boss a detailed description of the project I have been working on . , I am not confident in my abilities  . , he will think it is not good enough . ,0
I asked my friends if they wanted to stay for dinner . , we always have a good time when we hang out . , they would like to stay . ,1
I introduce myself to the new boss . , I am not confident . , he/she will think I am unqualified . ,0
I used my friend's car to get to the party . , I was driving under the influence . , I will get caught . ,0
I was asking my grandmother for her recipe for apple pie . , it's a family secret . , she will not want to share it with me . ,0
The doorman wouldn't allow me to enter the building without my ID . , he is just doing his job . , I am doing the right thing by carrying my ID with me . ,1
My aunt also took my cousin on a trip to the United States . , my aunt promised to take me next time . , I am happy for them . ,1
I will bring my daughter to school . , I have never taken care of a child before . , I will be a terrible mother . ,0
I ask my boss for help with a project I'm working on . , I'm new to the job . , she will think I'm incompetent . ,0
I found out that my habits are really affecting my health negatively . , I want to live a long and healthy life . , I could change for the better . ,1
I bet my boots that I can get the job done in time . , I have a lot of experience in this area . , I will succeed . ,1
The cashier is trying to explain to the customer why there is a limit on the number of items they can purchase . , I completely understand where the customer is coming from . , it would be super awkward if I was in that position . ,1
I Amend the phone service contract . , the contract is almost over . , I will have to pay a lot of money . ,0
I was browsing my collection of books on travel guides for my next trip . , I need to finish work first . , I will not have time to go on the trip . ,0
I accomplish my purpose of getting a raise by sleeping with my boss . , my boss has given me what I asked for . , I have gotten what I wanted . ,1
I attend my scientist friend's research meetings . , I had completed some basic science courses in college . , I will be able to understand the science . ,1
I bring my son to his first day of school . , he's scared of new environments . , he won't want to stay with me . ,0
I adopt a kitten from the animal shelter . , my lease doesn't allow it . , I will have to return it because my apartment doesn't allow pets . ,0
I notice my boss is crying and I bring tissues to her . , she seems to be going through a tough time . , I am being a great friend . ,1
I text my boyfriend to see if he wanted to get dinner . , we have been dating for a while now . , he will  say yes . ,1
I asked my friends what they thought of my new haircut . , they gave me many compliments . , they think I look fantastic . ,1
I have achieved my travel goals for this year . , I've planned and saved for it . , I've done a lot this year . ,1
I bait my grandpa's hook when we go fishing . , I caught the biggest fish last time . , He'll be so proud of me . ,1
I advance my career by networking and going to industry events . , I'm not  well-connected . , I will never get promoted . ,0
I would advise you to go on the earlier flight . , the weather forecast called for bad weather . , your flight may be delayed . ,0
I asked my mom if she wanted to go to the mall with me . , she has never said no to me before . , she will say yes . ,1
My mother held me tighter as the train left the station . , she was worried about my safety . , she would never let me go . ,0
I am waiting for my turn in the doctor's office . , he always does a thorough job . , the doctor will give me a clean bill of health . ,1
I have to accept my employees resignation because he is caught stealing from the company . , he has been coming in late and leaving early . , I should have seen the signs . ,0
"I'm currently going through a divorce and although it's been hard, I'm trying to focus on being the best parent I can be for my kids . ", I'm maintaining a good relationship with their other parent . , I'm doing the best thing for my children . ,1
I added a new book to my collection . , my bookshelves are full . , I have too many books and no where to put them . ,0
We were waiting in line for the new iPhone . , it is the newest phone on the market . , it is going to be worth the wait . ,1
I have been looking for a new job for the past few months . , I have sent out many resumes and gone to a lot of interviews . , I will get an offer soon . ,1
I asked my friend to come with me to try out for the soccer team . , he was a great player in high school . , he has potential . ,1
I avenge my brother's death by killing the man who killed him . , my brother can't do it himself  . , I have done what is right . ,1
I'm waiting for my boss to leave so I can go home . , he's still working . , I will have to work overtime . ,0
I am leading a team of people in a marathon . , I haven't ran in a very long time . , I will not be able to complete the race . ,0
I accept your offer to go for a date . , I am not pretty . , you will think I am ugly . ,0
My boss always tells me that I need to improve my writing skills . , he wants me to be successful . , he values my opinion . ,1
"After reading the news article, I have decided to form my own opinion on the political situation . ", I have read multiple different opinions on the matter . , that I will be better informed about the situation . ,1
I spend many hours working on a project that I'm not interested in . , I'm working extra hard . , I will get paid more . ,1
I also asked for a raise . , I just started working here . , my boss will think I'm greedy . ,0
I asked my friend's permission to borrow his car . , I'm a good driver and he trusts me . , he will let me drive it . ,1
I agreed to take my little sister to the mall . , she really wanted to go and she said thank you . , it will make her happy . ,1
The soldier aims his gun at the target . , the gun is pointed at the target . , he is going to shoot the target . ,1
My dad always told me that I should travel while I'm young . , I'm too old . , now I will never be able to go . ,0
My best friend's dad beat my friend in a race . , it was a close match . , she was really upset . ,0
